,multibat_filename,source_single_bat_files,actual_virtual_filenames
0,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,"matching_annotaudio_Aditya_2018-08-16_2324_15_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_2324_10_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_108_hp_singlebatmixed.WAV
1,matching_annotaudio_Aditya_2018-08-16_21502300_36_hp.WAV,"matching_annotaudio_Aditya_2018-08-16_2324_15_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_2324_10_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_36_hp_singlebatmixed.WAV
2,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,"matching_annotaudio_Aditya_2018-08-16_2324_15_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_2324_10_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_37_hp_singlebatmixed.WAV
3,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp.WAV,"matching_annotaudio_Aditya_2018-08-17_34_18_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_21502300_62_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_39_hp_singlebatmixed.WAV
4,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp.WAV,"matching_annotaudio_Aditya_2018-08-17_12_15_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_21502300_62_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_40_hp_singlebatmixed.WAV
5,matching_annotaudio_Aditya_2018-08-16_21502300_43_hp.WAV,"matching_annotaudio_Aditya_2018-08-19_0120-0200_109_hp.WAV', 'matching_annotaudio_Aditya_2018-08-19_23_32_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_43_hp_singlebatmixed.WAV
6,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp.WAV,"matching_annotaudio_Aditya_2018-08-17_12_98_hp.WAV', 'matching_annotaudio_Aditya_2018-08-19_0120-0200_109_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_46_hp_singlebatmixed.WAV
7,matching_annotaudio_Aditya_2018-08-16_21502300_49_hp.WAV,"matching_annotaudio_Aditya_2018-08-17_34_201_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_21502300_62_hp.WAV",matching_annotaudio_Aditya_2018-08-16_21502300_49_hp_singlebatmixed.WAV
8,matching_annotaudio_Aditya_2018-08-16_2324_169_hp.WAV,"matching_annotaudio_Aditya_2018-08-19_0120-0200_18_hp.WAV', 'matching_annotaudio_Aditya_2018-08-16_2324_14_hp.WAV",matching_annotaudio_Aditya_2018-08-16_2324_169_hp_singlebatmixed.WAV
9,matching_annotaudio_Aditya_2018-08-16_2324_182_hp.WAV,"matching_annotaudio_Aditya_2018-08-17_45_56_hp.WAV', 'matching_annotaudio_Aditya_2018-08-17_01_10_hp.WAV",matching_annotaudio_Aditya_2018-08-16_2324_182_hp_singlebatmixed.WAV
