,valid_annotations,video_annot_id,num_bats
0,matching_annotaudio_Aditya_2018-08-16_21502300_18,Aditya_2018-08-16_21502300_18,1
1,matching_annotaudio_Aditya_2018-08-16_21502300_20,Aditya_2018-08-16_21502300_20,1
2,matching_annotaudio_Aditya_2018-08-16_21502300_22,Aditya_2018-08-16_21502300_22,1
3,matching_annotaudio_Aditya_2018-08-16_21502300_24,Aditya_2018-08-16_21502300_24,1
4,matching_annotaudio_Aditya_2018-08-16_21502300_25,Aditya_2018-08-16_21502300_25,1
5,matching_annotaudio_Aditya_2018-08-16_21502300_28,Aditya_2018-08-16_21502300_28,1
6,matching_annotaudio_Aditya_2018-08-16_21502300_30,Aditya_2018-08-16_21502300_30,1
7,matching_annotaudio_Aditya_2018-08-16_21502300_32,Aditya_2018-08-16_21502300_32,1
8,matching_annotaudio_Aditya_2018-08-16_21502300_33,Aditya_2018-08-16_21502300_33,1
9,matching_annotaudio_Aditya_2018-08-16_21502300_36,Aditya_2018-08-16_21502300_36,2
10,matching_annotaudio_Aditya_2018-08-16_21502300_37,Aditya_2018-08-16_21502300_37,2
11,matching_annotaudio_Aditya_2018-08-16_21502300_39,Aditya_2018-08-16_21502300_39,2
12,matching_annotaudio_Aditya_2018-08-16_21502300_40,Aditya_2018-08-16_21502300_40,2
13,matching_annotaudio_Aditya_2018-08-16_21502300_43,Aditya_2018-08-16_21502300_43,2
14,matching_annotaudio_Aditya_2018-08-16_21502300_46,Aditya_2018-08-16_21502300_46,2
15,matching_annotaudio_Aditya_2018-08-16_21502300_47,Aditya_2018-08-16_21502300_47,2
16,matching_annotaudio_Aditya_2018-08-16_21502300_49,Aditya_2018-08-16_21502300_49,2
17,matching_annotaudio_Aditya_2018-08-16_21502300_50,Aditya_2018-08-16_21502300_50,1
18,matching_annotaudio_Aditya_2018-08-16_21502300_51,Aditya_2018-08-16_21502300_51,1
19,matching_annotaudio_Aditya_2018-08-16_21502300_52,Aditya_2018-08-16_21502300_52,1
20,matching_annotaudio_Aditya_2018-08-16_21502300_62,Aditya_2018-08-16_21502300_62,1
21,matching_annotaudio_Aditya_2018-08-16_21502300_66,Aditya_2018-08-16_21502300_66,1
22,matching_annotaudio_Aditya_2018-08-16_21502300_69,Aditya_2018-08-16_21502300_69,1
23,matching_annotaudio_Aditya_2018-08-16_21502300_70,Aditya_2018-08-16_21502300_70,1
24,matching_annotaudio_Aditya_2018-08-16_21502300_73,Aditya_2018-08-16_21502300_73,1
25,matching_annotaudio_Aditya_2018-08-16_21502300_74,Aditya_2018-08-16_21502300_74,1
26,matching_annotaudio_Aditya_2018-08-16_21502300_93,Aditya_2018-08-16_21502300_93,1
27,matching_annotaudio_Aditya_2018-08-16_21502300_98,Aditya_2018-08-16_21502300_98,1
28,matching_annotaudio_Aditya_2018-08-16_21502300_100,Aditya_2018-08-16_21502300_100,1
29,matching_annotaudio_Aditya_2018-08-16_21502300_101,Aditya_2018-08-16_21502300_101,1
30,matching_annotaudio_Aditya_2018-08-16_21502300_102,Aditya_2018-08-16_21502300_102,1
31,matching_annotaudio_Aditya_2018-08-16_21502300_104,Aditya_2018-08-16_21502300_104,1
32,matching_annotaudio_Aditya_2018-08-16_21502300_108,Aditya_2018-08-16_21502300_108,2
33,matching_annotaudio_Aditya_2018-08-16_21502300_110,Aditya_2018-08-16_21502300_110,1
34,matching_annotaudio_Aditya_2018-08-16_21502300_111,Aditya_2018-08-16_21502300_111,1
35,matching_annotaudio_Aditya_2018-08-16_2324_221,Aditya_2018-08-16_2324_221,2
36,matching_annotaudio_Aditya_2018-08-16_2324_223,Aditya_2018-08-16_2324_223,2
37,matching_annotaudio_Aditya_2018-08-16_2324_228,Aditya_2018-08-16_2324_228,2
38,matching_annotaudio_Aditya_2018-08-16_2324_229,Aditya_2018-08-16_2324_229,2
39,matching_annotaudio_Aditya_2018-08-16_2324_235,Aditya_2018-08-16_2324_235,1
40,matching_annotaudio_Aditya_2018-08-16_2324_236,Aditya_2018-08-16_2324_236,1
41,matching_annotaudio_Aditya_2018-08-16_2324_248,Aditya_2018-08-16_2324_248,1
42,matching_annotaudio_Aditya_2018-08-16_2324_250,Aditya_2018-08-16_2324_250,1
43,matching_annotaudio_Aditya_2018-08-16_2324_252,Aditya_2018-08-16_2324_252,1
44,matching_annotaudio_Aditya_2018-08-16_2324_254,Aditya_2018-08-16_2324_254,1
45,matching_annotaudio_Aditya_2018-08-16_2324_255,Aditya_2018-08-16_2324_255,1
46,matching_annotaudio_Aditya_2018-08-16_2324_256,Aditya_2018-08-16_2324_256,1
