,audio_file,cf_detection_number,detection_start,detection_stop
0,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,0.0,0.0106,0.023972
1,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,1.0,0.038616,0.053604
2,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,2.0,0.190828,0.206116
3,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,3.0,0.212684,0.228648
4,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,4.0,0.23476,0.24868
5,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,5.0,0.254712,0.267968
6,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,6.0,0.273528,0.287432
7,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,7.0,0.292688,0.305672
8,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,8.0,0.330384,0.349088
9,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,9.0,0.354964,0.369372
0,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,0.0,0.122808,0.150348
1,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,1.0,0.156916,0.180372
2,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,2.0,0.206876,0.220076
3,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,3.0,0.232336,0.250764
4,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,4.0,0.450224,0.4649
0,matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,0.0,0.218464,0.234556
1,matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,1.0,0.242564,0.256384
2,matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,2.0,0.322644,0.33552
0,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,0.0,0.042928,0.059572
1,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,1.0,0.065868,0.080348
2,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,2.0,0.156056,0.172512
3,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,3.0,0.203584,0.225984
4,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,4.0,0.231868,0.253952
5,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,5.0,0.260284,0.277284
6,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,6.0,0.31432,0.330936
7,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,7.0,0.336968,0.355048
8,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,8.0,0.361476,0.380812
9,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,9.0,0.415188,0.431408
10,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,10.0,0.437892,0.452016
11,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,11.0,0.48366,0.499292
0,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,0.0,0.139412,0.153132
0,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,0.0,0.0,0.0182
1,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,1.0,0.026856,0.043716
2,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,2.0,0.068532,0.088236
3,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,3.0,0.0952,0.111912
4,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,4.0,0.32186,0.33266
0,matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,0.0,0.007936,0.02318
1,matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,1.0,0.0341,0.04862
2,matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,2.0,0.099056,0.113048
0,matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,0.0,0.013868,0.036048
1,matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,1.0,0.089228,0.1119
2,matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,2.0,0.120324,0.139924
0,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,0.0,0.073,0.084328
1,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,1.0,0.12854,0.148816
2,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,2.0,0.211676,0.224512
3,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,3.0,0.231468,0.257168
4,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,4.0,0.3008,0.327644
0,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,0.0,0.125204,0.155176
1,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,1.0,0.203164,0.264004
2,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,2.0,0.31132,0.340056
3,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,3.0,0.414512,0.429336
0,matching_annotaudio_Aditya_2018-08-16_21502300_24_hp,0.0,0.037784,0.057168
0,matching_annotaudio_Aditya_2018-08-16_21502300_25_hp,0.0,0.236816,0.249024
1,matching_annotaudio_Aditya_2018-08-16_21502300_25_hp,1.0,0.489344,0.499492
0,matching_annotaudio_Aditya_2018-08-16_21502300_28_hp,0.0,0.23162,0.249672
0,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,0.0,0.0,0.014164
1,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,1.0,0.021644,0.037604
2,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,2.0,0.044692,0.057344
3,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,3.0,0.178696,0.193536
4,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,4.0,0.241072,0.255044
5,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,5.0,0.262956,0.280596
0,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,0.0,0.098056,0.115524
1,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,1.0,0.11646,0.14026
2,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,2.0,0.188732,0.204312
3,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,3.0,0.230548,0.25592
4,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,4.0,0.272028,0.284432
5,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,5.0,0.317836,0.336512
6,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,6.0,0.341688,0.3635
7,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,7.0,0.484432,0.499492
0,matching_annotaudio_Aditya_2018-08-16_21502300_33_hp,0.0,0.29388,0.308028
1,matching_annotaudio_Aditya_2018-08-16_21502300_33_hp,1.0,0.346048,0.388712
2,matching_annotaudio_Aditya_2018-08-16_21502300_33_hp,2.0,0.423824,0.466796
0,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,0.0,0.222836,0.253532
1,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,1.0,0.311608,0.336136
2,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,2.0,0.40312,0.430816
3,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,3.0,0.480864,0.499492
0,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp,0.0,0.08954,0.104764
1,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp,1.0,0.149856,0.183416
2,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp,2.0,0.228444,0.27414
3,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp,3.0,0.323912,0.364408
0,matching_annotaudio_Aditya_2018-08-16_21502300_43_hp,0.0,0.23264,0.24446
0,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,0.0,0.15836,0.179996
1,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,1.0,0.21778,0.272264
2,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,2.0,0.313828,0.36002
3,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,3.0,0.39504,0.406564
4,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,4.0,0.41774,0.44572
5,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,5.0,0.48126,0.499492
0,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,0.0,0.057936,0.099876
1,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,1.0,0.140584,0.161084
2,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,2.0,0.231472,0.246216
3,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,3.0,0.301692,0.31564
4,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,4.0,0.328048,0.368136
5,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,5.0,0.375944,0.387156
6,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,6.0,0.416664,0.437344
0,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,0.0,0.149344,0.160644
1,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,1.0,0.182336,0.197584
2,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,2.0,0.228588,0.254024
3,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,3.0,0.260488,0.28352
4,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,4.0,0.30944,0.331872
5,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,5.0,0.338436,0.357136
0,matching_annotaudio_Aditya_2018-08-16_21502300_70_hp,0.0,0.027712,0.073684
1,matching_annotaudio_Aditya_2018-08-16_21502300_70_hp,1.0,0.129092,0.167204
0,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,0.0,0.040288,0.060296
1,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,1.0,0.070428,0.089588
2,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,2.0,0.196476,0.216072
3,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,3.0,0.221696,0.2501
4,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,4.0,0.323812,0.336388
5,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,5.0,0.394524,0.417116
6,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,6.0,0.474932,0.49462
0,matching_annotaudio_Aditya_2018-08-16_21502300_74_hp,0.0,0.052052,0.062816
1,matching_annotaudio_Aditya_2018-08-16_21502300_74_hp,1.0,0.208992,0.25634
2,matching_annotaudio_Aditya_2018-08-16_21502300_74_hp,2.0,0.297788,0.31032
0,matching_annotaudio_Aditya_2018-08-16_21502300_98_hp,0.0,0.165604,0.179088
1,matching_annotaudio_Aditya_2018-08-16_21502300_98_hp,1.0,0.231384,0.249164
2,matching_annotaudio_Aditya_2018-08-16_21502300_98_hp,2.0,0.317592,0.332352
0,matching_annotaudio_Aditya_2018-08-16_2324_117_hp,0.0,0.23744,0.2499
0,matching_annotaudio_Aditya_2018-08-16_2324_128_hp,0.0,0.142468,0.155776
1,matching_annotaudio_Aditya_2018-08-16_2324_128_hp,1.0,0.165144,0.18014
2,matching_annotaudio_Aditya_2018-08-16_2324_128_hp,2.0,0.479856,0.492148
0,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,0.0,0.102788,0.130216
1,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,1.0,0.138876,0.165012
2,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,2.0,0.192716,0.217312
3,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,3.0,0.225652,0.258244
4,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,4.0,0.363344,0.379192
0,matching_annotaudio_Aditya_2018-08-16_2324_15_hp,0.0,0.02112,0.036472
1,matching_annotaudio_Aditya_2018-08-16_2324_15_hp,1.0,0.067136,0.07958
0,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,0.0,0.03468,0.053812
1,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,1.0,0.0605,0.074724
2,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,2.0,0.112644,0.143744
3,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,3.0,0.186088,0.202592
4,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,4.0,0.350516,0.361192
0,matching_annotaudio_Aditya_2018-08-16_2324_156_hp,0.0,0.002072,0.028372
1,matching_annotaudio_Aditya_2018-08-16_2324_156_hp,1.0,0.055252,0.071784
2,matching_annotaudio_Aditya_2018-08-16_2324_156_hp,2.0,0.13708,0.157256
3,matching_annotaudio_Aditya_2018-08-16_2324_156_hp,3.0,0.377804,0.391264
0,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,0.0,0.041504,0.059572
1,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,1.0,0.07078,0.084964
2,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,2.0,0.154592,0.166268
3,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,3.0,0.174864,0.185696
4,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,4.0,0.25242,0.271124
5,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,5.0,0.278408,0.29408
6,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,6.0,0.32706,0.34148
0,matching_annotaudio_Aditya_2018-08-16_2324_179_hp,0.0,0.01614,0.036292
1,matching_annotaudio_Aditya_2018-08-16_2324_179_hp,1.0,0.04312,0.05484
2,matching_annotaudio_Aditya_2018-08-16_2324_179_hp,2.0,0.121708,0.131992
0,matching_annotaudio_Aditya_2018-08-16_2324_180_hp,0.0,0.075952,0.10344
1,matching_annotaudio_Aditya_2018-08-16_2324_180_hp,1.0,0.193204,0.2118
2,matching_annotaudio_Aditya_2018-08-16_2324_180_hp,2.0,0.220796,0.2333
3,matching_annotaudio_Aditya_2018-08-16_2324_180_hp,3.0,0.265368,0.278024
0,matching_annotaudio_Aditya_2018-08-16_2324_182_hp,0.0,0.03924,0.050188
1,matching_annotaudio_Aditya_2018-08-16_2324_182_hp,1.0,0.145772,0.157756
0,matching_annotaudio_Aditya_2018-08-16_2324_196_hp,0.0,0.20912,0.225436
1,matching_annotaudio_Aditya_2018-08-16_2324_196_hp,1.0,0.297984,0.31454
0,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,0.0,0.0,0.02692
1,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,1.0,0.065428,0.101668
2,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,2.0,0.135664,0.150464
3,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,3.0,0.151808,0.17634
4,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,4.0,0.211804,0.222348
5,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,5.0,0.223112,0.257452
6,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,6.0,0.289712,0.3097
0,matching_annotaudio_Aditya_2018-08-16_2324_20_hp,0.0,0.008192,0.023512
