,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,fold_number
0,False,False,True,0.7342,-0.48828125,False,-0.48828125,-0.48828125,random_value,1
0,True,False,False,0.2192,-0.9765625,False,-4.39453125,0.9765625,random_value,2
0,True,False,False,0.36,-1.46484375,False,-5.859375,1.220703125,random_value,3
0,True,False,False,0.4062,3.41796875,False,-1.708984375,7.080078125,random_value,4
0,True,False,False,0.5024,0.732421875,False,-4.150390625,3.662109375,random_value,5
0,True,False,False,0.7112,0.48828125,False,-3.662109375,3.90625,random_value,6
0,True,False,False,0.5954,0.48828125,False,-6.8359375,2.44140625,random_value,7
0,True,False,False,0.7284,0.732421875,False,-4.39453125,4.150390625,random_value,8
0,True,False,False,0.3072,2.9296875,False,-3.173828125,6.591796875,random_value,9
0,True,False,False,0.924,0.0,False,-4.638671875,3.173828125,random_value,10
0,True,False,False,0.7938,0.732421875,False,-4.150390625,6.8359375,random_value,11
0,True,False,False,0.4786,3.173828125,False,-2.685546875,7.32421875,random_value,12
0,True,False,False,0.6114,0.732421875,False,-4.638671875,4.39453125,random_value,13
0,True,False,False,0.483,0.9765625,False,-3.173828125,4.39453125,random_value,14
0,True,False,False,0.7628,0.48828125,False,-2.9296875,2.9296875,random_value,15
0,True,False,False,0.754,0.732421875,False,-4.150390625,5.126953125,random_value,16
0,True,False,False,0.0738,2.197265625,False,-2.9296875,5.859375,random_value,17
0,True,False,False,0.3074,1.46484375,False,-2.9296875,4.8828125,random_value,18
0,True,False,False,0.7296,0.48828125,False,-3.41796875,3.90625,random_value,19
0,True,False,False,0.7216,0.732421875,False,-4.39453125,4.638671875,random_value,20
0,True,False,False,0.7558,0.244140625,False,-3.41796875,5.126953125,random_value,21
0,True,False,False,0.2854,1.220703125,False,-1.46484375,3.41796875,random_value,22
0,True,False,False,0.0684,-3.662109375,False,-7.8125,0.0,random_value,23
0,True,False,False,0.6914,0.48828125,False,-2.44140625,1.953125,random_value,24
0,True,False,False,0.8592,0.244140625,False,-5.37109375,3.662109375,random_value,25
0,True,False,False,0.6116,0.732421875,False,-1.953125,3.90625,random_value,26
0,True,False,False,0.2496,3.41796875,False,-1.220703125,7.32421875,random_value,27
0,True,False,False,0.5598,-1.953125,False,-6.34765625,3.90625,random_value,28
0,True,False,False,0.6206,-0.9765625,False,-5.37109375,3.173828125,random_value,29
0,True,False,False,0.6252,-0.48828125,False,-3.41796875,2.685546875,random_value,30
0,True,False,False,0.3528,1.708984375,False,-2.9296875,4.8828125,random_value,31
0,True,False,False,0.3836,-0.732421875,False,-5.859375,0.9765625,random_value,32
0,True,False,False,0.8838,0.244140625,False,-5.859375,5.859375,random_value,33
