,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,fold_number
0,False,False,True,0.2064,-4.638671875,False,-7.32421875,-0.9765625,random_value,1
0,True,False,False,0.2588,3.173828125,False,-2.9296875,6.103515625,random_value,2
0,True,False,False,0.7952,0.48828125,False,-2.9296875,1.953125,random_value,3
0,True,False,False,0.266,-3.90625,False,-9.033203125,0.48828125,random_value,4
0,True,False,False,0.6114,0.48828125,False,-6.8359375,6.34765625,random_value,5
0,True,False,False,0.3828,2.44140625,False,-3.41796875,4.8828125,random_value,6
0,True,False,False,0.401,-0.9765625,False,-6.34765625,0.48828125,random_value,7
0,True,False,False,0.794,0.244140625,False,-3.90625,2.9296875,random_value,8
0,True,False,False,0.3306,1.708984375,False,0.0,5.859375,random_value,9
0,False,False,True,0.0708,-3.90625,False,-5.37109375,-1.46484375,random_value,10
0,True,False,False,0.7954,-0.48828125,False,-5.615234375,2.685546875,random_value,11
0,True,False,False,0.6114,2.9296875,False,-8.7890625,7.8125,random_value,12
0,True,False,False,0.5928,2.44140625,False,-4.8828125,6.591796875,random_value,13
0,True,False,False,0.3912,2.685546875,False,-4.8828125,7.568359375,random_value,14
0,True,False,False,0.7352,-1.46484375,False,-4.39453125,2.197265625,random_value,15
0,True,False,False,0.6036,1.708984375,False,-3.90625,5.859375,random_value,16
0,True,False,False,0.6734,0.48828125,False,-4.8828125,6.103515625,random_value,17
0,True,False,False,0.6054,0.48828125,False,-8.7890625,6.8359375,random_value,18
0,False,False,True,0.0,-5.37109375,True,-5.859375,-3.41796875,random_value,19
0,False,True,False,0.0676,2.44140625,False,0.9765625,4.150390625,random_value,20
0,True,False,False,0.5414,-2.44140625,False,-6.34765625,1.46484375,random_value,21
0,True,False,False,0.4082,-1.953125,False,-4.8828125,2.685546875,random_value,22
0,True,False,False,0.7338,-0.9765625,False,-4.39453125,3.173828125,random_value,23
0,False,False,True,0.2032,-6.103515625,False,-9.765625,-1.220703125,random_value,24
0,True,False,False,0.4076,-1.708984375,False,-5.126953125,1.46484375,random_value,25
0,True,False,False,0.6038,0.48828125,False,-1.953125,3.662109375,random_value,26
0,True,False,False,0.07,5.126953125,False,-0.244140625,7.568359375,random_value,27
0,True,False,False,0.866,-0.48828125,False,-8.056640625,6.34765625,random_value,28
0,True,False,False,0.67,-0.48828125,False,-3.173828125,1.953125,random_value,29
0,True,False,False,0.4036,-2.9296875,False,-6.8359375,1.708984375,random_value,30
0,True,False,False,0.405,2.9296875,False,-3.173828125,7.568359375,random_value,31
0,True,False,False,0.3922,-0.9765625,False,-2.44140625,0.0,random_value,32
0,True,False,False,0.5948,0.48828125,False,-8.30078125,2.9296875,random_value,33
0,False,False,True,0.0708,-4.39453125,False,-8.7890625,-0.48828125,random_value,34
0,False,True,False,0.1674,2.9296875,False,2.9296875,2.9296875,random_value,35
