"","Component","Parameter","Difference-MAP","diff_lower_95pcHPD","diff_upper_95pcHPD","Ratio-MAP","ratio_lower_95pcHPD","ratio_upper_95pcHPD"
"1","CF","Duration, ms","-2.86","-4.45","-1.32","0.85","0.77","0.93"
"2","tFM","Duration, ms","0.19","-0.01","0.39","1.11","0.99","1.23"
"3","iFM","Duration, ms","0.02","-0.16","0.19","1.02","0.88","1.15"
"4","CF","Peak frequency, kHz","0.4","-0.26","1.02","1.004","0.998","1.01"
"5","tFM","Lower frequency, kHz","-0.87","-2.42","0.71","0.99","0.97","1.01"
"6","iFM","Lower frequency, kHz","0.02","-1.45","1.49","1","0.99","1.02"
"7","CF","Amplitude, dB rms","-2.16","-4.09","-0.22",NA,NA,NA
"8","tFM","Amplitude, dB rms","-2.06","-4.19","-0.11",NA,NA,NA
"9","iFM","Amplitude, dB rms","-1.96","-4.32","0.63",NA,NA,NA
"10","tFM-CF","Level difference, dB","-0.01","-1.3","1.25",NA,NA,NA
"11","iFM-CF","Level difference, dB","0.62","-0.49","1.72",NA,NA,NA
"12","tFM","Bandwidth, kHz","1.24","-0.13","2.63","1.1","0.99","1.22"
"13","iFM","Bandwidth, kHz","0.38","-0.9","1.62","1.04","0.9","1.18"
