,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,interval
0,True,False,False,0.455,-1.4079999999999977,False,-5.015999999999998,3.007999999999999,cf_duration,isolated
0,True,False,False,0.3234,0.28800000000000003,False,-0.17200000000000015,0.7000000000000002,tfm_duration,isolated
0,True,False,False,0.724,-0.07600000000000007,False,-0.8279999999999998,0.6880000000000002,ifm_duration,isolated
0,False,False,True,,-4.655128731510757,False,-7.168174402887161,-2.5143184779321643,cf_peak_frequency,isolated
0,False,False,True,0.0214,-4.8186457277366515,True,-7.2806553911205185,-1.6144076917557584,tfm_terminal_frequency,isolated
0,True,False,False,0.0638,-3.690761120764222,False,-6.566058227187796,2.258923014186692,ifm_terminal_frequency,isolated
0,True,False,False,0.1022,-3.642502408495229,False,-7.092898952155732,1.5477931654824637,cf_dbrms,isolated
0,True,False,False,0.1866,-3.0384918606610967,False,-9.72354216989308,6.821609753742184,tfm_dbrms,isolated
0,True,False,False,0.5658,-1.8560792823349672,False,-7.788218437870981,5.303258703219967,ifm_dbrms,isolated
0,True,False,False,0.5282,0.5550955312520491,False,-2.801262442465892,5.6668541084880015,tfm-cf_dbratio,isolated
0,True,False,False,0.789,-0.3641913078437131,False,-1.9561475858882806,1.8828377116086674,ifm-cf_dbratio,isolated
0,True,False,False,0.078,4.037067025024793,False,-1.4723758041132964,5.830267135046075,tfm_bw,isolated
0,True,False,False,0.2498,2.3073668872171638,False,-2.440196967636373,5.490852279456107,ifm_bw,isolated
