,Unnamed: 0,Unnamed: 0.1,value,segment_number,measurement,file_name,unique_window_id,video_annot_id,num_bats,groupsize
0,123,169,-36.53349444660826,0,rms,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,0_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,Aditya_2018-08-16_21502300_108,2,multiple
1,129,178,-31.793989856769155,1,rms,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,1_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,Aditya_2018-08-16_21502300_108,2,multiple
2,135,187,-33.878824284391925,2,rms,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,2_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,Aditya_2018-08-16_21502300_108,2,multiple
3,139,192,-34.88212469392221,3,rms,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,3_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,Aditya_2018-08-16_21502300_108,2,multiple
4,144,199,-35.823836617580014,12,rms,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,12_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp.WAV,Aditya_2018-08-16_21502300_108,2,multiple
5,665,975,-32.904861252402085,1,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,1_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
6,669,982,-35.729775620120385,2,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,2_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
7,676,992,-33.559133766486845,4,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,4_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
8,680,999,-34.051361751660934,5,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,5_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
9,683,1004,-28.921297210408405,6,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,6_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
10,687,1009,-32.36065754501291,7,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,7_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
11,692,1016,-26.906959876595028,8,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,8_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
12,696,1022,-25.39944563102518,9,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,9_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
13,701,1029,-33.55629890318959,10,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,10_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
14,705,1037,-36.24763846151297,12,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,12_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
15,710,1044,-33.457360352556734,13,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,13_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
16,714,1051,-30.341441688125993,14,rms,matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,14_matching_annotaudio_Aditya_2018-08-16_21502300_37_hp.WAV,Aditya_2018-08-16_21502300_37,2,multiple
