video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_1,15,2,2018-08-16 22:15:18,10,2018-08-16 22:15:19,14,1,,1.0,,Goes into the roosting area,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_2,15,2,2018-08-16 22:15:59,17,2018-08-16 22:16:01,7,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_3,17,2,2018-08-16 22:17:36,20,2018-08-16 22:17:41,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_4,17,2,2018-08-16 22:17:41,1,2018-08-16 22:17:44,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_5,20,2,2018-08-16 22:20:12,22,2018-08-16 22:20:14,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_6,21,2,2018-08-16 22:21:38,14,2018-08-16 22:21:39,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_7,21,2,2018-08-16 22:21:39,9,2018-08-16 22:21:40,3,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_8,21,2,2018-08-16 22:21:43,7,2018-08-16 22:21:44,4,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_9,23,2,2018-08-16 22:23:15,15,2018-08-16 22:23:15,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_10,23,2,2018-08-16 22:23:16,3,2018-08-16 22:23:20,22,2,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_11,23,2,2018-08-16 22:23:21,4,2018-08-16 22:23:21,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_12,23,2,2018-08-16 22:23:23,20,2018-08-16 22:23:24,9,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_13,23,2,2018-08-16 22:23:31,14,2018-08-16 22:23:31,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_14,23,2,2018-08-16 22:23:32,1,2018-08-16 22:23:32,8,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_15,23,2,2018-08-16 22:23:32,15,2018-08-16 22:23:33,21,3,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_16,23,2,2018-08-16 22:23:40,7,2018-08-16 22:23:41,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_17,23,2,2018-08-16 22:23:58,21,2018-08-16 22:23:59,18,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_18,24,2,2018-08-16 22:24:25,2,2018-08-16 22:24:26,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_19,24,2,2018-08-16 22:24:25,22,2018-08-16 22:24:27,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_20,25,2,2018-08-16 22:25:21,17,2018-08-16 22:25:24,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_21,25,2,2018-08-16 22:25:28,6,2018-08-16 22:25:32,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_22,25,2,2018-08-16 22:25:44,6,2018-08-16 22:25:47,3,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_23,25,2,2018-08-16 22:25:57,5,2018-08-16 22:25:57,23,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_24,28,2,2018-08-16 22:28:16,8,2018-08-16 22:28:17,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_25,28,2,2018-08-16 22:28:46,17,2018-08-16 22:28:47,17,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_26,29,2,2018-08-16 22:29:06,22,2018-08-16 22:29:07,20,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_27,29,2,2018-08-16 22:29:29,8,2018-08-16 22:29:29,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_28,29,2,2018-08-16 22:29:29,22,2018-08-16 22:29:33,10,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_29,30,2,2018-08-16 22:30:20,11,2018-08-16 22:30:20,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_30,31,2,2018-08-16 22:31:50,20,2018-08-16 22:31:51,16,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_31,32,2,2018-08-16 22:32:58,16,2018-08-16 22:33:01,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_32,33,2,2018-08-16 22:33:02,6,2018-08-16 22:33:05,20,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_33,33,2,2018-08-16 22:33:11,5,2018-08-16 22:33:13,19,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_34,37,2,2018-08-16 22:37:37,1,2018-08-16 22:37:39,5,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_35,37,2,2018-08-16 22:37:37,1,2018-08-16 22:37:39,5,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_36,37,2,2018-08-16 22:37:39,12,2018-08-16 22:37:46,18,2,t,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_37,37,2,2018-08-16 22:37:39,12,2018-08-16 22:37:46,19,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_38,37,2,2018-08-16 22:37:46,25,2018-08-16 22:37:47,7,1,,0.0,,Only a few frames,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_39,37,2,2018-08-16 22:37:47,12,2018-08-16 22:37:50,21,2,"T,P",1.0,,Passing only briefly,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_40,37,1,2018-08-16 22:37:48,4,2018-08-16 22:37:52,11,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180816_21.50.31-23.00.00[R][@afd][1],Aditya_2018-08-16_21502300_41,37,2,2018-08-16 22:37:51,3,2018-08-16 22:37:51,19,1,,1.0,,,,Aditya
