video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_1,0,2,2018-08-16 23:00:50,15,2018-08-16 23:00:56,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_2,0,2,2018-08-16 23:00:56,11,2018-08-16 23:00:56,23,2,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_3,0,2,2018-08-16 23:00:57,5,2018-08-16 23:00:58,18,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_4,1,2,2018-08-16 23:01:10,14,2018-08-16 23:01:11,9,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_5,2,2,2018-08-16 23:02:17,14,2018-08-16 23:02:18,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_6,2,2,2018-08-16 23:02:20,18,2018-08-16 23:02:21,3,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_7,2,2,2018-08-16 23:02:21,10,2018-08-16 23:02:22,11,2,T,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_8,2,2,2018-08-16 23:02:54,13,2018-08-16 23:02:54,21,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_9,3,2,2018-08-16 23:03:02,11,2018-08-16 23:03:03,3,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_10,3,2,2018-08-16 23:03:03,10,2018-08-16 23:03:04,2,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_11,3,2,2018-08-16 23:03:09,17,2018-08-16 23:03:11,14,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_12,3,2,2018-08-16 23:03:11,21,2018-08-16 23:03:16,7,2,"H,P,T",1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_13,3,2,2018-08-16 23:03:16,14,2018-08-16 23:03:16,25,1,,0,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_14,3,2,2018-08-16 23:03:52,21,2018-08-16 23:03:53,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_15,3,2,2018-08-16 23:03:59,7,2018-08-16 23:03:59,21,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_16,4,2,2018-08-16 23:04:03,17,2018-08-16 23:04:06,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180816_23.00.00-00.00.00[R][@f6a][0],Aditya_2018-08-16_2324_17,4,2,2018-08-16 23:04:27,12,2018-08-16 23:04:33,1,1,,1,,,,Aditya
