video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_2,1,2,2018-08-17 00:01:05,19,2018-08-17 00:01:06,1,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_3,1,2,2018-08-17 00:01:06,8,2018-08-17 00:01:06,18,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_4,1,2,2018-08-17 00:01:29,22,2018-08-17 00:01:31,12,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_5,1,2,2018-08-17 00:01:46,21,2018-08-17 00:01:46,12,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_6,3,2,2018-08-17 00:03:39,4,2018-08-17 00:03:39,16,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_7,4,2,2018-08-17 00:04:25,19,2018-08-17 00:04:26,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_8,4,2,2018-08-17 00:04:51,2,2018-08-17 00:04:51,20,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_9,4,2,2018-08-17 00:04:54,26,2018-08-17 00:04:57,5,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_10,5,2,2018-08-17 00:05:25,22,2018-08-17 00:05:27,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_11,5,2,2018-08-17 00:05:37,20,2018-08-17 00:05:38,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_12,5,2,2018-08-17 00:05:40,2,2018-08-17 00:05:40,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_13,6,2,2018-08-17 00:06:51,5,2018-08-17 00:06:51,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_14,6,2,2018-08-17 00:06:51,5,2018-08-17 00:06:51,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_15,7,2,2018-08-17 00:07:02,16,2018-08-17 00:07:03,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_16,7,2,2018-08-17 00:07:02,16,2018-08-17 00:07:03,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_17,7,2,2018-08-17 00:07:06,15,2018-08-17 00:07:06,22,1,,1.0,,,Another bat is following the bat outside and will enter the cave soon,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_18,7,2,2018-08-17 00:07:06,13,2018-08-17 00:07:06,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_19,7,2,2018-08-17 00:07:07,16,2018-08-17 00:07:08,4,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_20,7,2,2018-08-17 00:07:19,20,2018-08-17 00:07:20,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_21,7,2,2018-08-17 00:07:19,20,2018-08-17 00:07:20,22,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_22,8,2,2018-08-17 00:08:11,6,2018-08-17 00:08:13,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_23,8,2,2018-08-17 00:08:33,5,2018-08-17 00:08:33,13,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_24,8,2,2018-08-17 00:08:33,20,2018-08-17 00:08:34,11,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_25,9,2,2018-08-17 00:09:54,19,2018-08-17 00:09:55,24,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_26,10,2,2018-08-17 00:10:00,2,2018-08-17 00:10:00,15,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_27,10,2,2018-08-17 00:10:05,5,2018-08-17 00:10:05,14,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_28,10,2,2018-08-17 00:10:06,12,2018-08-17 00:10:07,11,4,"T,P",1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_29,10,2,2018-08-17 00:10:07,18,2018-08-17 00:10:08,4,3,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_30,10,2,2018-08-17 00:10:08,11,2018-08-17 00:10:08,15,2,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_31,10,2,2018-08-17 00:10:08,22,2018-08-17 00:10:09,4,1,T,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_32,10,2,2018-08-17 00:10:18,17,2018-08-17 00:10:19,7,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_33,10,2,2018-08-17 00:10:22,10,2018-08-17 00:10:23,8,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_34,11,2,2018-08-17 00:11:42,20,2018-08-17 00:11:43,2,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_35,12,2,2018-08-17 00:12:08,23,2018-08-17 00:12:09,8,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_36,12,2,2018-08-17 00:12:48,23,2018-08-17 00:12:50,20,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_37,14,2,2018-08-17 00:14:31,9,2018-08-17 00:14:31,21,1,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_00.00.00-01.00.00[R][@1334][3],Aditya_2018-08-17_01_38,15,2,2018-08-17 00:15:05,20,2018-08-17 00:15:06,4,1,,1.0,,,,Aditya
