video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_1,0,2,2018-08-20 03:00:16,2,2018-08-20 03:00:17,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_2,0,2,2018-08-20 03:00:50,11,2018-08-20 03:00:50,22,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_3,0,2,2018-08-20 03:00:51,4,2018-08-20 03:00:53,19,2,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_4,0,2,2018-08-20 03:00:54,1,2018-08-20 03:00:54,11,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_5,3,2,2018-08-20 03:03:12,22,2018-08-20 03:03:13,7,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_6,3,2,2018-08-20 03:03:26,9,2018-08-20 03:03:26,19,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_7,3,2,2018-08-20 03:03:33,20,2018-08-20 03:03:04,7,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_8,3,2,2018-08-20 03:03:34,13,2018-08-20 03:03:34,24,2,?,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_9,4,2,2018-08-20 03:04:52,2,2018-08-20 03:04:53,1,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_10,4,2,2018-08-20 03:04:56,10,2018-08-20 03:04:57,4,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_11,5,2,2018-08-20 03:05:33,10,2018-08-20 03:05:33,25,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_12,5,2,2018-08-20 03:05:53,2,2018-08-20 03:05:54,22,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_13,7,2,2018-08-20 03:07:08,4,2018-08-20 03:07:08,14,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_14,7,2,2018-08-20 03:07:08,21,2018-08-20 03:07:11,6,2,"T,H",1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_15,7,2,2018-08-20 03:07:11,13,2018-08-20 03:07:16,23,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_16,7,2,2018-08-20 03:07:23,6,2018-08-20 03:07:27,12,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_17,8,2,2018-08-20 03:08:52,15,2018-08-20 03:08:52,23,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_18,9,2,2018-08-20 03:09:08,17,2018-08-20 03:09:10,11,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_19,10,2,2018-08-20 03:10:08,14,2018-08-20 03:10:10,13,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_20,11,2,2018-08-20 03:11:03,22,2018-08-20 03:11:04,16,1,,1,,,,Aditya
OrlovaChukaDome_02_20180820_03.00.00-04.00.00[R][@49b6][1],Aditya_2018-08-20_0300-0400_21,11,2,2018-08-20 03:11:31,11,2018-08-20 03:11:32,12,1,,1,,,,Aditya
